number,sqrt1 (https://codebase64.org/doku.php?id=base:fast_sqrt),sqrt2 (http://www.6502.org/source/integers/root.htm),sqrt3 (http://www.txbobsc.com/aal/1986/aal8611.html#a1),sqrt5 (http://www.txbobsc.com/aal/1986/aal8609.html#a8),sqrt6 (https://www.bbcelite.com/master/main/subroutine/ll5.html),sqrt7 (http://6502org.wikidot.com/software-math-sqrt),sqrt9 (https://github.com/TobyLobster/sqrt_test/blob/main/sqrt/sqrt9.a),sqrt10 (https://github.com/TobyLobster/sqrt_test/blob/main/sqrt/sqrt10.a),sqrt11 (http://forum.6502.org/viewtopic.php?p=90611#p90611),sqrt12 (https://gitlab.riscosopen.org/RiscOS/Sources/Apps/Diversions/Meteors/-/blob/master/Srce6502/MetSrc2#L961),sqrt13 (https://stardot.org.uk/forums/viewtopic.php?p=367937#p367937),sqrt14 (https://stardot.org.uk/forums/viewtopic.php?p=367937#p367937),sqrt15 (https://stardot.org.uk/forums/viewtopic.php?p=367937#p367937)
233,315,842,87,726,535,499,86,229,254,1103,39,43,37
234,315,842,87,726,535,499,86,229,254,1103,39,43,37
235,315,842,87,726,535,499,86,229,254,1103,39,43,37
236,315,842,87,726,535,499,86,229,254,1103,39,43,37
237,315,842,87,726,535,499,86,229,254,1103,39,43,37
238,315,842,87,726,535,499,86,229,254,1103,39,43,37
239,315,842,87,726,535,499,86,229,254,1103,39,43,37
240,315,842,87,726,535,499,86,229,254,1103,39,43,37
241,315,842,87,726,535,499,86,229,254,1103,39,43,37
242,315,842,87,726,535,499,86,229,254,1103,39,43,37
243,315,842,87,726,535,499,86,229,254,1103,39,43,37
244,315,842,87,726,535,499,86,229,254,1103,39,43,37
245,315,842,87,726,535,499,86,229,254,1103,39,43,37
246,315,842,87,726,535,499,86,229,254,1103,39,43,37
247,315,842,87,726,535,499,86,229,254,1103,39,43,37
248,315,842,87,726,535,499,86,229,254,1103,39,43,37
249,315,842,87,726,535,499,86,229,254,1103,39,43,37
250,315,842,87,726,535,499,86,229,254,1103,39,43,37
251,315,842,87,726,535,499,86,229,254,1103,39,43,37
252,315,842,87,726,535,499,86,229,254,1103,39,43,37
253,315,842,87,726,535,499,86,229,254,1103,39,43,37
254,315,842,87,726,535,499,86,229,254,1103,39,43,37
255,315,842,87,726,535,499,86,229,254,1103,39,43,37
256,288,776,128,696,484,484,119,212,236,944,85,184,106
257,288,776,128,696,484,484,119,212,295,960,85,184,106
258,288,776,128,696,484,484,119,212,295,960,85,184,106
259,288,776,128,696,484,484,119,212,295,960,85,184,106
260,288,776,128,696,484,484,119,212,295,976,85,184,119
261,288,776,128,696,484,484,119,212,295,976,85,184,119
262,288,776,128,696,484,484,119,212,295,976,85,184,119
263,288,776,128,696,484,484,119,212,295,976,85,184,119
264,288,776,128,696,484,484,119,212,295,976,85,184,119
265,288,776,128,696,484,484,119,212,295,976,85,184,119
266,288,776,128,696,484,484,119,212,295,976,85,184,119
267,288,776,128,696,484,484,119,212,295,976,85,184,119
268,288,776,128,696,484,484,119,212,295,976,85,184,119
269,288,776,128,696,484,484,119,212,295,976,85,184,119
270,288,776,128,696,484,484,119,212,295,976,85,184,119
271,288,776,128,696,484,484,119,212,295,976,85,184,119
272,288,776,128,696,484,484,119,212,295,992,85,184,119
273,288,776,128,696,484,484,119,212,295,1006,85,184,119
274,288,776,128,696,484,484,119,212,295,1006,85,184,119
275,288,776,128,696,484,484,119,212,295,1006,85,184,119
276,288,776,128,696,484,484,119,212,295,1006,85,184,119
277,288,776,128,696,484,484,119,212,295,1006,85,184,119
278,288,776,128,696,484,484,119,212,295,1006,85,184,119
279,288,776,128,696,484,484,119,212,295,1006,85,184,119
280,288,776,128,696,484,484,119,212,295,1006,85,184,119
281,288,776,128,696,484,484,119,212,295,1006,85,184,119
282,288,776,128,696,484,484,119,212,295,1006,85,184,119
283,288,776,128,696,484,484,119,212,295,1006,85,184,119
284,288,776,128,696,484,484,119,212,295,1006,85,184,119
285,288,776,128,696,484,484,119,212,295,1006,85,184,119
286,288,776,128,696,484,484,119,212,295,1006,85,184,119
287,288,776,128,696,484,484,119,212,295,1006,85,184,119
288,288,776,128,696,490,484,119,212,295,1006,85,184,119
289,289,798,138,706,502,489,129,213,286,1029,103,185,119
290,289,798,138,706,502,489,129,213,301,1029,103,185,119
291,289,798,138,706,502,489,129,213,301,1029,103,185,119
292,289,798,128,706,499,489,119,213,301,1043,103,185,119
293,289,798,128,706,499,489,119,213,301,1043,103,185,119
294,289,798,128,706,499,489,119,213,301,1043,103,185,119
295,289,798,128,706,499,489,119,213,301,1043,103,185,119
296,289,798,128,706,499,489,119,213,301,1043,103,185,119
297,289,798,128,706,499,489,119,213,301,1043,103,185,119
298,289,798,128,706,499,489,119,213,301,1043,103,185,119
299,289,798,128,706,499,489,119,213,301,1043,103,185,119
300,289,798,128,706,499,489,119,213,301,1043,103,185,119
301,289,798,128,706,499,489,119,213,301,1043,103,185,119
302,289,798,128,706,499,489,119,213,301,1043,103,185,119
303,289,798,128,706,499,489,119,213,301,1043,103,185,119
304,289,798,128,706,499,489,119,213,301,1043,103,185,119
305,289,798,128,706,499,489,119,213,301,1043,103,185,119
306,289,798,128,706,499,489,119,213,301,1043,103,185,119
307,289,798,128,706,499,489,119,213,301,1043,103,185,119
308,289,798,128,706,499,489,119,213,301,1043,103,185,119
309,289,798,128,706,499,489,119,213,301,1043,103,185,119
310,289,798,128,706,499,489,119,213,301,1043,103,185,119
311,289,798,128,706,499,489,119,213,301,1043,103,185,119
312,289,798,128,706,499,489,119,213,301,1043,103,185,119
313,289,798,128,706,499,489,119,213,301,1043,103,185,119
314,289,798,128,706,499,489,119,213,301,1043,103,185,119
315,289,798,128,706,499,489,119,213,301,1043,103,185,119
316,289,798,128,706,499,489,119,213,301,1043,103,185,119
317,289,798,128,706,499,489,119,213,301,1043,103,185,119
318,289,798,128,706,499,489,119,213,301,1043,103,185,119
319,289,798,128,706,499,489,119,213,301,1043,103,185,119
320,289,798,128,706,505,489,119,213,301,1059,103,185,106
321,289,798,128,706,505,489,119,213,301,1059,103,185,106
322,289,798,128,706,505,489,119,213,301,1059,103,185,106
323,289,798,128,706,505,489,119,213,301,1059,103,185,106
324,301,798,128,706,502,489,119,218,153,1029,121,193,106
325,301,798,128,706,502,489,119,218,304,1045,121,193,106
326,301,798,128,706,502,489,119,218,304,1045,121,193,106
327,301,798,128,706,502,489,119,218,304,1045,121,193,106
328,301,798,128,706,502,489,119,218,304,1045,121,193,119
329,301,798,128,706,502,489,119,218,304,1045,121,193,119
330,301,798,128,706,502,489,119,218,304,1045,121,193,119
331,301,798,128,706,502,489,119,218,304,1045,121,193,119
332,301,798,128,706,502,489,119,218,304,1045,121,193,119
333,301,798,128,706,502,489,119,218,304,1045,121,193,119
334,301,798,128,706,502,489,119,218,304,1045,121,193,119
335,301,798,128,706,502,489,119,218,304,1045,121,193,119
336,301,798,128,706,499,489,119,218,304,1059,121,193,119
337,301,798,128,706,499,489,119,218,304,1059,121,193,119
338,301,798,128,706,499,489,119,218,304,1059,121,193,119
